event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,50,1000,4,1780512422.321828,mpc_replay_1780511940_dd449526,1,0.0,0.0,True
mpc_decision_2@20.0s,50,943,1,1780512444.221892,mpc_replay_1780511940_dd449526,2,20.0,21.99921679496765,True
mpc_decision_3@40.0s,50,940,1,1780512464.2214653,mpc_replay_1780511940_dd449526,3,40.0,42.001864194869995,True
mpc_decision_4@60.0s,50,1000,1,1780512484.2223217,mpc_replay_1780511940_dd449526,4,60.0,61.99303698539734,True
mpc_decision_5@80.0s,50,1000,1,1780512504.2224736,mpc_replay_1780511940_dd449526,5,80.0,82.00248908996582,False
mpc_decision_6@100.0s,36,966,16,1780512524.2222924,mpc_replay_1780511940_dd449526,6,100.0,101.99478220939636,True
mpc_decision_7@120.0s,40,734,19,1780512542.2222733,mpc_replay_1780511940_dd449526,7,120.0,120.00305533409119,True
mpc_decision_8@140.0s,38,709,15,1780512564.2224147,mpc_replay_1780511940_dd449526,8,140.0,141.99004101753235,True
mpc_decision_9@160.0s,12,627,1,1780512584.222265,mpc_replay_1780511940_dd449526,9,160.0,161.99576568603516,True
mpc_decision_10@180.0s,13,1,1,1780512602.2223723,mpc_replay_1780511940_dd449526,10,180.0,180.0023844242096,True
mpc_decision_11@200.0s,49,160,1,1780512624.2226121,mpc_replay_1780511940_dd449526,11,200.0,201.9955952167511,True
mpc_decision_12@220.0s,50,678,1,1780512642.222356,mpc_replay_1780511940_dd449526,12,220.0,220.00026726722717,True
mpc_decision_13@240.0s,48,999,1,1780512664.222418,mpc_replay_1780511940_dd449526,13,240.0,241.99888515472412,True
mpc_decision_14@260.0s,44,488,5,1780512684.2233088,mpc_replay_1780511940_dd449526,14,260.0,261.994202375412,True
mpc_decision_15@280.0s,1,1,17,1780512704.2227755,mpc_replay_1780511940_dd449526,15,280.0,282.00085377693176,True
mpc_decision_16@300.0s,1,1,20,1780512724.222617,mpc_replay_1780511940_dd449526,16,300.0,302.00111413002014,True
mpc_decision_17@320.0s,1,1,20,1780512744.2236035,mpc_replay_1780511940_dd449526,17,320.0,321.99658370018005,False
mpc_decision_18@340.0s,1,1,20,1780512764.223627,mpc_replay_1780511940_dd449526,18,340.0,341.99258494377136,False
mpc_decision_19@360.0s,1,191,2,1780512784.2235646,mpc_replay_1780511940_dd449526,19,360.0,361.9988765716553,True
mpc_decision_20@380.0s,1,143,1,1780512802.223538,mpc_replay_1780511940_dd449526,20,380.0,380.0017056465149,True
mpc_decision_21@400.0s,2,129,1,1780512822.2241156,mpc_replay_1780511940_dd449526,21,400.0,400.00412797927856,True
mpc_decision_22@420.0s,1,244,1,1780512844.2242215,mpc_replay_1780511940_dd449526,22,420.0,422.0039083957672,True
mpc_decision_23@440.0s,1,254,2,1780512864.2237964,mpc_replay_1780511940_dd449526,23,440.0,441.9982695579529,True
mpc_decision_24@460.0s,1,254,2,1780512884.224149,mpc_replay_1780511940_dd449526,24,460.0,461.99212861061096,False
mpc_decision_25@480.0s,1,352,8,1780512904.2242932,mpc_replay_1780511940_dd449526,25,480.0,481.9928677082062,True
mpc_decision_26@500.0s,1,300,4,1780512922.22389,mpc_replay_1780511940_dd449526,26,500.0,500.0049955844879,True
mpc_decision_27@520.0s,1,363,1,1780512944.2247295,mpc_replay_1780511940_dd449526,27,520.0,522.0044853687286,True
mpc_decision_28@540.0s,1,420,2,1780512964.224656,mpc_replay_1780511940_dd449526,28,540.0,541.9906623363495,True
mpc_decision_29@560.0s,1,433,1,1780512984.224269,mpc_replay_1780511940_dd449526,29,560.0,562.0031332969666,True
mpc_decision_30@580.0s,1,488,1,1780513004.2248123,mpc_replay_1780511940_dd449526,30,580.0,581.9957041740417,True
mpc_decision_31@600.0s,1,488,1,1780513022.2251549,mpc_replay_1780511940_dd449526,31,600.0,600.0030801296234,False
mpc_decision_32@620.0s,1,569,1,1780513042.2246614,mpc_replay_1780511940_dd449526,32,620.0,620.0029404163361,True
mpc_decision_33@640.0s,1,569,1,1780513062.2248845,mpc_replay_1780511940_dd449526,33,640.0,640.0058486461639,False
mpc_decision_34@660.0s,1,606,1,1780513082.2254465,mpc_replay_1780511940_dd449526,34,660.0,660.0013620853424,True
mpc_decision_35@680.0s,1,1000,1,1780513104.2249029,mpc_replay_1780511940_dd449526,35,680.0,682.0038831233978,True
mpc_decision_36@700.0s,1,1000,1,1780513122.225083,mpc_replay_1780511940_dd449526,36,700.0,700.0035128593445,False
mpc_decision_37@720.0s,1,622,1,1780513144.2253234,mpc_replay_1780511940_dd449526,37,720.0,721.9926204681396,True
mpc_decision_38@740.0s,7,253,15,1780513164.225471,mpc_replay_1780511940_dd449526,38,740.0,742.0036363601685,True
mpc_decision_39@760.0s,8,342,18,1780513184.2253942,mpc_replay_1780511940_dd449526,39,760.0,762.001405954361,True
mpc_decision_40@780.0s,8,362,18,1780513204.2260807,mpc_replay_1780511940_dd449526,40,780.0,782.0028021335602,True
mpc_decision_41@800.0s,8,385,18,1780513224.225976,mpc_replay_1780511940_dd449526,41,800.0,802.0049030780792,True
mpc_decision_42@820.0s,8,460,20,1780513244.2256682,mpc_replay_1780511940_dd449526,42,820.0,821.9971401691437,True
mpc_decision_43@840.0s,1,794,18,1780513262.226535,mpc_replay_1780511940_dd449526,43,840.0,840.0044507980347,True
mpc_decision_44@860.0s,1,914,18,1780513284.226202,mpc_replay_1780511940_dd449526,44,860.0,861.9941301345825,True
mpc_decision_45@880.0s,1,884,20,1780513302.226651,mpc_replay_1780511940_dd449526,45,880.0,880.0009524822235,True
mpc_decision_46@900.0s,1,966,19,1780513322.2263415,mpc_replay_1780511940_dd449526,46,900.0,900.0082149505615,True
mpc_decision_47@920.0s,1,935,19,1780513344.2267659,mpc_replay_1780511940_dd449526,47,920.0,921.9942662715912,True
mpc_decision_48@940.0s,2,798,20,1780513364.227203,mpc_replay_1780511940_dd449526,48,940.0,942.0021591186523,True
mpc_decision_49@960.0s,2,654,16,1780513384.227402,mpc_replay_1780511940_dd449526,49,960.0,962.0010287761688,True
mpc_decision_50@980.0s,2,654,16,1780513404.2277615,mpc_replay_1780511940_dd449526,50,980.0,981.9986715316772,False
mpc_decision_51@1000.0s,2,664,16,1780513422.2276094,mpc_replay_1780511940_dd449526,51,1000.0,1000.0036118030548,True
mpc_decision_52@1020.0s,2,650,15,1780513442.2268736,mpc_replay_1780511940_dd449526,52,1020.0,1020.0020039081573,True
mpc_decision_53@1040.0s,2,785,13,1780513462.2272632,mpc_replay_1780511940_dd449526,53,1040.0,1040.0058948993683,True
mpc_decision_54@1060.0s,2,785,13,1780513482.2272549,mpc_replay_1780511940_dd449526,54,1060.0,1060.0081856250763,False
mpc_decision_55@1080.0s,2,750,13,1780513504.2276382,mpc_replay_1780511940_dd449526,55,1080.0,1082.003615140915,True
mpc_decision_56@1100.0s,2,805,10,1780513524.2273471,mpc_replay_1780511940_dd449526,56,1100.0,1102.0055317878723,True
mpc_decision_57@1120.0s,2,824,9,1780513542.228227,mpc_replay_1780511940_dd449526,57,1120.0,1120.0009245872498,True
mpc_decision_58@1140.0s,2,670,6,1780513564.228217,mpc_replay_1780511940_dd449526,58,1140.0,1142.0040719509125,True
mpc_decision_59@1160.0s,2,670,6,1780513582.2280238,mpc_replay_1780511940_dd449526,59,1160.0,1160.0040078163147,False
mpc_decision_60@1180.0s,2,670,6,1780513602.2281165,mpc_replay_1780511940_dd449526,60,1180.0,1180.0090935230255,False
