event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,50,1000,3,1780515143.34,mpc_replay_1780514661_b02dcc14,1,0.0,0.00099945068359375,True
mpc_decision_2@30.0s,50,1000,1,1780515173.2417479,mpc_replay_1780514661_b02dcc14,2,30.0,30.00126314163208,True
mpc_decision_3@60.0s,50,1,1,1780515203.2379584,mpc_replay_1780514661_b02dcc14,3,60.0,60.00288152694702,True
mpc_decision_4@90.0s,16,1,16,1780515233.242471,mpc_replay_1780514661_b02dcc14,4,90.0,90.00336813926697,True
mpc_decision_5@120.0s,12,314,12,1780515265.242058,mpc_replay_1780514661_b02dcc14,5,120.0,122.00027990341187,True
mpc_decision_6@150.0s,10,260,8,1780515293.23812,mpc_replay_1780514661_b02dcc14,6,150.0,150.00196719169617,True
mpc_decision_7@180.0s,7,304,5,1780515323.243037,mpc_replay_1780514661_b02dcc14,7,180.0,180.01006197929382,True
mpc_decision_8@210.0s,45,399,3,1780515353.2426944,mpc_replay_1780514661_b02dcc14,8,210.0,210.00612950325012,True
mpc_decision_9@240.0s,1,1,4,1780515383.2430425,mpc_replay_1780514661_b02dcc14,9,240.0,240.013192653656,True
mpc_decision_10@270.0s,1,1,20,1780515413.2424366,mpc_replay_1780514661_b02dcc14,10,270.0,270.0034897327423,True
mpc_decision_11@300.0s,1,1,19,1780515443.238908,mpc_replay_1780514661_b02dcc14,11,300.0,300.00164580345154,True
mpc_decision_12@330.0s,1,1,8,1780515473.2439978,mpc_replay_1780514661_b02dcc14,12,330.0,330.00358629226685,True
mpc_decision_13@360.0s,1,1,20,1780515503.2433143,mpc_replay_1780514661_b02dcc14,13,360.0,360.005872964859,True
mpc_decision_14@390.0s,1,1,20,1780515533.2438948,mpc_replay_1780514661_b02dcc14,14,390.0,390.01408314704895,False
mpc_decision_15@420.0s,1,1,20,1780515563.2439435,mpc_replay_1780514661_b02dcc14,15,420.0,420.0119740962982,False
mpc_decision_16@450.0s,2,205,20,1780515593.2427974,mpc_replay_1780514661_b02dcc14,16,450.0,450.0109317302704,True
mpc_decision_17@480.0s,2,236,15,1780515623.2440464,mpc_replay_1780514661_b02dcc14,17,480.0,480.00152039527893,True
mpc_decision_18@510.0s,1,372,6,1780515653.244062,mpc_replay_1780514661_b02dcc14,18,510.0,510.0138623714447,True
mpc_decision_19@540.0s,1,418,2,1780515683.2439754,mpc_replay_1780514661_b02dcc14,19,540.0,540.0091156959534,True
mpc_decision_20@570.0s,1,400,9,1780515713.244965,mpc_replay_1780514661_b02dcc14,20,570.0,570.0025355815887,True
mpc_decision_21@600.0s,1,474,1,1780515743.244503,mpc_replay_1780514661_b02dcc14,21,600.0,600.0108003616333,True
mpc_decision_22@630.0s,1,431,1,1780515773.2434,mpc_replay_1780514661_b02dcc14,22,630.0,630.0018711090088,True
mpc_decision_23@660.0s,2,222,14,1780515803.2447944,mpc_replay_1780514661_b02dcc14,23,660.0,660.002845287323,True
mpc_decision_24@690.0s,2,222,14,1780515833.242286,mpc_replay_1780514661_b02dcc14,24,690.0,690.008015871048,False
mpc_decision_25@720.0s,7,59,16,1780515863.2448735,mpc_replay_1780514661_b02dcc14,25,720.0,720.0060729980469,True
mpc_decision_26@750.0s,9,36,20,1780515893.2453067,mpc_replay_1780514661_b02dcc14,26,750.0,750.0041375160217,True
mpc_decision_27@780.0s,9,36,20,1780515923.2427356,mpc_replay_1780514661_b02dcc14,27,780.0,780.0101435184479,False
mpc_decision_28@810.0s,9,36,20,1780515953.2469003,mpc_replay_1780514661_b02dcc14,28,810.0,810.0109040737152,False
mpc_decision_29@840.0s,9,36,20,1780515983.2465947,mpc_replay_1780514661_b02dcc14,29,840.0,840.0083425045013,False
mpc_decision_30@870.0s,9,36,20,1780516013.243089,mpc_replay_1780514661_b02dcc14,30,870.0,870.0026338100433,False
mpc_decision_31@900.0s,9,36,20,1780516043.247271,mpc_replay_1780514661_b02dcc14,31,900.0,900.0150423049927,False
mpc_decision_32@930.0s,9,36,20,1780516073.246173,mpc_replay_1780514661_b02dcc14,32,930.0,930.0172312259674,False
mpc_decision_33@960.0s,9,36,20,1780516103.2461345,mpc_replay_1780514661_b02dcc14,33,960.0,960.0147733688354,False
mpc_decision_34@990.0s,9,36,20,1780516133.2472606,mpc_replay_1780514661_b02dcc14,34,990.0,990.0135560035706,False
mpc_decision_35@1020.0s,9,36,20,1780516163.2477272,mpc_replay_1780514661_b02dcc14,35,1020.0,1020.0022394657135,False
mpc_decision_36@1050.0s,9,36,20,1780516193.2480085,mpc_replay_1780514661_b02dcc14,36,1050.0,1050.0157301425934,False
mpc_decision_37@1080.0s,9,36,20,1780516223.2480438,mpc_replay_1780514661_b02dcc14,37,1080.0,1080.0061514377594,False
mpc_decision_38@1110.0s,9,36,20,1780516253.2482278,mpc_replay_1780514661_b02dcc14,38,1110.0,1110.0172743797302,False
mpc_decision_39@1140.0s,9,36,20,1780516283.2485888,mpc_replay_1780514661_b02dcc14,39,1140.0,1140.0082275867462,False
mpc_decision_40@1170.0s,9,36,20,1780516313.2488046,mpc_replay_1780514661_b02dcc14,40,1170.0,1170.0098447799683,False
