event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,50,917,1,1780518374.3620474,mpc_replay_1780517893_80747dd9,1,0.0,0.0009975433349609375,True
mpc_decision_2@20.0s,50,1000,1,1780518394.2615404,mpc_replay_1780517893_80747dd9,2,20.0,20.00148367881775,True
mpc_decision_3@40.0s,50,1000,1,1780518414.2575366,mpc_replay_1780517893_80747dd9,3,40.0,40.004483461380005,False
mpc_decision_4@60.0s,50,1000,1,1780518434.2611794,mpc_replay_1780517893_80747dd9,4,60.0,60.00212836265564,False
mpc_decision_5@80.0s,50,1000,17,1780518456.2613592,mpc_replay_1780517893_80747dd9,5,80.0,82.01031064987183,True
mpc_decision_6@100.0s,30,880,15,1780518474.2626028,mpc_replay_1780517893_80747dd9,6,100.0,100.00655126571655,True
mpc_decision_7@120.0s,33,941,1,1780518494.262586,mpc_replay_1780517893_80747dd9,7,120.0,120.00753355026245,True
mpc_decision_8@140.0s,50,1,1,1780518516.2620544,mpc_replay_1780517893_80747dd9,8,140.0,142.01200246810913,True
mpc_decision_9@160.0s,12,618,13,1780518534.262054,mpc_replay_1780517893_80747dd9,9,160.0,160.00200271606445,True
mpc_decision_10@180.0s,50,462,1,1780518554.2625933,mpc_replay_1780517893_80747dd9,10,180.0,180.00619292259216,True
mpc_decision_11@200.0s,7,683,8,1780518574.262351,mpc_replay_1780517893_80747dd9,11,200.0,200.00430297851562,True
mpc_decision_12@220.0s,38,634,5,1780518594.262708,mpc_replay_1780517893_80747dd9,12,220.0,220.00065970420837,True
mpc_decision_13@240.0s,38,1,7,1780518614.260895,mpc_replay_1780517893_80747dd9,13,240.0,240.00384998321533,True
mpc_decision_14@260.0s,1,1,8,1780518634.262511,mpc_replay_1780517893_80747dd9,14,260.0,260.0044627189636,True
mpc_decision_15@280.0s,1,1,8,1780518654.2635145,mpc_replay_1780517893_80747dd9,15,280.0,280.0014624595642,False
mpc_decision_16@300.0s,1,1,8,1780518674.2617955,mpc_replay_1780517893_80747dd9,16,300.0,300.00974464416504,False
mpc_decision_17@320.0s,1,1,2,1780518694.2633955,mpc_replay_1780517893_80747dd9,17,320.0,320.00134444236755,True
mpc_decision_18@340.0s,1,1,20,1780518714.263629,mpc_replay_1780517893_80747dd9,18,340.0,340.0105674266815,True
mpc_decision_19@360.0s,1,1,14,1780518734.2634614,mpc_replay_1780517893_80747dd9,19,360.0,360.0084116458893,True
mpc_decision_20@380.0s,1,1,9,1780518754.2629998,mpc_replay_1780517893_80747dd9,20,380.0,380.0009491443634,True
mpc_decision_21@400.0s,1,1,14,1780518774.263171,mpc_replay_1780517893_80747dd9,21,400.0,400.01312017440796,True
mpc_decision_22@420.0s,1,1,14,1780518794.2631612,mpc_replay_1780517893_80747dd9,22,420.0,420.0021116733551,False
mpc_decision_23@440.0s,1,1000,19,1780518814.2616718,mpc_replay_1780517893_80747dd9,23,440.0,440.01063084602356,True
mpc_decision_24@460.0s,1,1000,20,1780518834.264146,mpc_replay_1780517893_80747dd9,24,460.0,460.00010085105896,True
mpc_decision_25@480.0s,1,284,5,1780518854.259966,mpc_replay_1780517893_80747dd9,25,480.0,480.0069296360016,True
mpc_decision_26@500.0s,1,253,5,1780518874.2642434,mpc_replay_1780517893_80747dd9,26,500.0,500.0111927986145,True
mpc_decision_27@520.0s,1,394,4,1780518894.2640822,mpc_replay_1780517893_80747dd9,27,520.0,520.0060322284698,True
mpc_decision_28@540.0s,1,300,12,1780518914.2641866,mpc_replay_1780517893_80747dd9,28,540.0,540.0051374435425,True
mpc_decision_29@560.0s,1,286,13,1780518934.2648695,mpc_replay_1780517893_80747dd9,29,560.0,560.0078086853027,True
mpc_decision_30@580.0s,1,286,13,1780518954.2653387,mpc_replay_1780517893_80747dd9,30,580.0,580.0082857608795,False
mpc_decision_31@600.0s,1,507,18,1780518974.264619,mpc_replay_1780517893_80747dd9,31,600.0,600.0075697898865,True
mpc_decision_32@620.0s,1,764,19,1780518994.2655447,mpc_replay_1780517893_80747dd9,32,620.0,620.0094878673553,True
mpc_decision_33@640.0s,1,766,19,1780519014.26488,mpc_replay_1780517893_80747dd9,33,640.0,640.0048217773438,True
mpc_decision_34@660.0s,1,629,20,1780519034.2638738,mpc_replay_1780517893_80747dd9,34,660.0,660.010817527771,True
mpc_decision_35@680.0s,1,629,20,1780519054.2618594,mpc_replay_1780517893_80747dd9,35,680.0,680.0168225765228,False
mpc_decision_36@700.0s,5,89,20,1780519074.2658815,mpc_replay_1780517893_80747dd9,36,700.0,700.0168211460114,True
mpc_decision_37@720.0s,4,92,20,1780519094.2658849,mpc_replay_1780517893_80747dd9,37,720.0,720.0138192176819,True
mpc_decision_38@740.0s,4,118,20,1780519114.2655761,mpc_replay_1780517893_80747dd9,38,740.0,740.0065264701843,True
mpc_decision_39@760.0s,4,78,17,1780519134.265251,mpc_replay_1780517893_80747dd9,39,760.0,760.0171937942505,True
mpc_decision_40@780.0s,4,78,17,1780519154.2662547,mpc_replay_1780517893_80747dd9,40,780.0,780.016194820404,False
mpc_decision_41@800.0s,4,78,17,1780519174.2662525,mpc_replay_1780517893_80747dd9,41,800.0,800.0022044181824,False
mpc_decision_42@820.0s,4,78,17,1780519194.266252,mpc_replay_1780517893_80747dd9,42,820.0,820.0071942806244,False
mpc_decision_43@840.0s,4,78,17,1780519214.266249,mpc_replay_1780517893_80747dd9,43,840.0,840.0031943321228,False
mpc_decision_44@860.0s,4,78,17,1780519234.2636023,mpc_replay_1780517893_80747dd9,44,860.0,860.0065653324127,False
mpc_decision_45@880.0s,4,78,17,1780519254.2666261,mpc_replay_1780517893_80747dd9,45,880.0,880.0175657272339,False
mpc_decision_46@900.0s,4,78,17,1780519274.2666235,mpc_replay_1780517893_80747dd9,46,900.0,900.0095655918121,False
mpc_decision_47@920.0s,4,78,17,1780519294.2666247,mpc_replay_1780517893_80747dd9,47,920.0,920.0085656642914,False
mpc_decision_48@940.0s,4,78,17,1780519314.2676313,mpc_replay_1780517893_80747dd9,48,940.0,940.0145659446716,False
mpc_decision_49@960.0s,4,78,17,1780519334.2676263,mpc_replay_1780517893_80747dd9,49,960.0,960.0065658092499,False
mpc_decision_50@980.0s,4,78,17,1780519354.2637753,mpc_replay_1780517893_80747dd9,50,980.0,980.0127234458923,False
mpc_decision_51@1000.0s,4,78,17,1780519374.2672582,mpc_replay_1780517893_80747dd9,51,1000.0,1000.0082063674927,False
