event,kp,ki,kd,timestamp,run_id,decision_idx,decision_elapsed_s,applied_elapsed_s,source_changed
mpc_decision_1@0.0s,24,1,6,1779760937.9648156,mpc_replay_1779760453_57df3fd1,1,0.0,0.0,True
mpc_decision_2@10.0s,5,907,8,1779760946.601542,mpc_replay_1779760453_57df3fd1,2,10.0,10.686340093612671,True
mpc_decision_3@20.0s,4,1000,6,1779760957.5990605,mpc_replay_1779760453_57df3fd1,3,20.0,21.632858991622925,True
mpc_decision_4@30.0s,4,874,6,1779760967.8812778,mpc_replay_1779760453_57df3fd1,4,30.0,31.53983473777771,True
mpc_decision_5@40.0s,2,557,3,1779760976.441472,mpc_replay_1779760453_57df3fd1,5,40.0,40.50924873352051,True
mpc_decision_6@50.0s,2,557,3,1779760987.523523,mpc_replay_1779760453_57df3fd1,6,50.0,51.571715354919434,False
mpc_decision_7@60.0s,2,380,3,1779760996.3057032,mpc_replay_1779760453_57df3fd1,7,60.0,60.492544651031494,True
mpc_decision_8@70.0s,2,380,3,1779761007.2972536,mpc_replay_1779760453_57df3fd1,8,70.0,71.47957038879395,False
mpc_decision_9@80.0s,2,380,3,1779761017.3996193,mpc_replay_1779760453_57df3fd1,9,80.0,81.48205065727234,False
mpc_decision_10@90.0s,2,380,3,1779761027.2990417,mpc_replay_1779760453_57df3fd1,10,90.0,91.48319888114929,False
mpc_decision_11@100.0s,2,380,3,1779761037.317611,mpc_replay_1779760453_57df3fd1,11,100.0,101.47586417198181,False
mpc_decision_12@110.0s,2,380,3,1779761047.3977551,mpc_replay_1779760453_57df3fd1,12,110.0,111.47082352638245,False
mpc_decision_13@120.0s,2,380,3,1779761057.9160233,mpc_replay_1779760453_57df3fd1,13,120.0,121.49771666526794,False
mpc_decision_14@130.0s,2,380,3,1779761067.2994592,mpc_replay_1779760453_57df3fd1,14,130.0,131.4886167049408,False
mpc_decision_15@140.0s,2,299,3,1779761077.3232656,mpc_replay_1779760453_57df3fd1,15,140.0,141.5012173652649,True
mpc_decision_16@150.0s,4,1,6,1779761087.3958485,mpc_replay_1779760453_57df3fd1,16,150.0,151.4836928844452,True
mpc_decision_17@160.0s,4,1,6,1779761097.29977,mpc_replay_1779760453_57df3fd1,17,160.0,161.4824800491333,False
mpc_decision_18@170.0s,3,204,4,1779761107.2985039,mpc_replay_1779760453_57df3fd1,18,170.0,171.48251247406006,True
mpc_decision_19@180.0s,3,204,4,1779761117.4997041,mpc_replay_1779760453_57df3fd1,19,180.0,181.66845202445984,False
mpc_decision_20@190.0s,6,99,8,1779761127.4077451,mpc_replay_1779760453_57df3fd1,20,190.0,191.53117775917053,True
mpc_decision_21@200.0s,11,177,11,1779761137.403766,mpc_replay_1779760453_57df3fd1,21,200.0,201.50734615325928,True
mpc_decision_22@210.0s,12,291,1,1779761147.4044602,mpc_replay_1779760453_57df3fd1,22,210.0,211.49782633781433,True
mpc_decision_23@220.0s,7,1000,17,1779761157.2983036,mpc_replay_1779760453_57df3fd1,23,220.0,221.478821516037,True
mpc_decision_24@230.0s,5,1000,18,1779761167.3984208,mpc_replay_1779760453_57df3fd1,24,230.0,231.53798055648804,True
mpc_decision_25@240.0s,3,1000,18,1779761177.2996306,mpc_replay_1779760453_57df3fd1,25,240.0,241.48335456848145,True
mpc_decision_26@250.0s,7,1000,20,1779761187.4039142,mpc_replay_1779760453_57df3fd1,26,250.0,251.47700881958008,True
mpc_decision_27@260.0s,4,1000,15,1779761197.3008919,mpc_replay_1779760453_57df3fd1,27,260.0,261.48482513427734,True
mpc_decision_28@270.0s,2,845,17,1779761207.67989,mpc_replay_1779760453_57df3fd1,28,270.0,271.48084712028503,True
mpc_decision_29@280.0s,2,792,19,1779761217.367531,mpc_replay_1779760453_57df3fd1,29,280.0,281.4859502315521,True
mpc_decision_30@290.0s,1,1,20,1779761226.3291678,mpc_replay_1779760453_57df3fd1,30,290.0,290.4925227165222,True
mpc_decision_31@300.0s,1,13,12,1779761236.4069815,mpc_replay_1779760453_57df3fd1,31,300.0,300.4854109287262,True
mpc_decision_32@310.0s,1,30,12,1779761246.3968549,mpc_replay_1779760453_57df3fd1,32,310.0,310.48406982421875,True
mpc_decision_33@320.0s,1,16,11,1779761256.3009012,mpc_replay_1779760453_57df3fd1,33,320.0,320.48483300209045,True
mpc_decision_34@330.0s,2,1,1,1779761266.4147656,mpc_replay_1779760453_57df3fd1,34,330.0,330.59682631492615,True
mpc_decision_35@340.0s,1,15,1,1779761276.404892,mpc_replay_1779760453_57df3fd1,35,340.0,340.47145986557007,True
mpc_decision_36@350.0s,1,1,18,1779761287.4276536,mpc_replay_1779760453_57df3fd1,36,350.0,350.74872374534607,True
mpc_decision_37@360.0s,1,1,20,1779761297.6387885,mpc_replay_1779760453_57df3fd1,37,360.0,361.4892134666443,True
mpc_decision_38@370.0s,1,1,20,1779761306.3022327,mpc_replay_1779760453_57df3fd1,38,370.0,370.49082612991333,False
mpc_decision_39@380.0s,1,1,20,1779761316.3201025,mpc_replay_1779760453_57df3fd1,39,380.0,380.4785966873169,False
mpc_decision_40@390.0s,1,7,4,1779761326.314274,mpc_replay_1779760453_57df3fd1,40,390.0,390.4816880226135,True
mpc_decision_41@400.0s,1,17,1,1779761336.4424992,mpc_replay_1779760453_57df3fd1,41,400.0,400.4771354198456,True
mpc_decision_42@410.0s,1,15,1,1779761346.409127,mpc_replay_1779760453_57df3fd1,42,410.0,410.4831428527832,True
mpc_decision_43@420.0s,1,15,8,1779761356.3192923,mpc_replay_1779760453_57df3fd1,43,420.0,420.49725461006165,True
mpc_decision_44@430.0s,1,14,19,1779761366.6043925,mpc_replay_1779760453_57df3fd1,44,430.0,430.5028553009033,True
mpc_decision_45@440.0s,1,21,20,1779761376.3046198,mpc_replay_1779760453_57df3fd1,45,440.0,440.4708216190338,True
mpc_decision_46@450.0s,1,34,15,1779761386.3025775,mpc_replay_1779760453_57df3fd1,46,450.0,450.4841785430908,True
mpc_decision_47@460.0s,1,46,18,1779761396.2971313,mpc_replay_1779760453_57df3fd1,47,460.0,460.4773552417755,True
mpc_decision_48@470.0s,1,56,20,1779761406.5069087,mpc_replay_1779760453_57df3fd1,48,470.0,470.4882152080536,True
mpc_decision_49@480.0s,1,73,20,1779761416.3077097,mpc_replay_1779760453_57df3fd1,49,480.0,480.4838171005249,True
mpc_decision_50@490.0s,1,99,20,1779761426.9134858,mpc_replay_1779760453_57df3fd1,50,490.0,490.4955155849457,True
mpc_decision_51@500.0s,1,110,20,1779761436.3037975,mpc_replay_1779760453_57df3fd1,51,500.0,500.4816973209381,True
mpc_decision_52@510.0s,36,48,20,1779761446.3005779,mpc_replay_1779760453_57df3fd1,52,510.0,510.4846737384796,True
mpc_decision_53@520.0s,41,122,20,1779761456.301043,mpc_replay_1779760453_57df3fd1,53,520.0,520.4792897701263,True
mpc_decision_54@530.0s,38,20,18,1779761466.3053586,mpc_replay_1779760453_57df3fd1,54,530.0,530.4851295948029,True
mpc_decision_55@540.0s,38,20,18,1779761476.3152637,mpc_replay_1779760453_57df3fd1,55,540.0,540.4894738197327,False
mpc_decision_56@550.0s,34,15,20,1779761486.2987232,mpc_replay_1779760453_57df3fd1,56,550.0,550.4759228229523,True
mpc_decision_57@560.0s,34,15,20,1779761496.3018482,mpc_replay_1779760453_57df3fd1,57,560.0,560.4880435466766,False
mpc_decision_58@570.0s,34,15,20,1779761506.3014395,mpc_replay_1779760453_57df3fd1,58,570.0,570.479825258255,False
mpc_decision_59@580.0s,33,9,20,1779761516.3004205,mpc_replay_1779760453_57df3fd1,59,580.0,580.4760723114014,True
mpc_decision_60@590.0s,33,9,20,1779761526.4240732,mpc_replay_1779760453_57df3fd1,60,590.0,590.4994895458221,False
mpc_decision_61@600.0s,33,9,20,1779761536.439003,mpc_replay_1779760453_57df3fd1,61,600.0,600.5167889595032,False
mpc_decision_62@610.0s,33,9,20,1779761547.790879,mpc_replay_1779760453_57df3fd1,62,610.0,611.3356001377106,False
mpc_decision_63@620.0s,36,1,20,1779761558.2062557,mpc_replay_1779760453_57df3fd1,63,620.0,622.2140662670135,True
mpc_decision_64@630.0s,36,1,20,1779761566.3043132,mpc_replay_1779760453_57df3fd1,64,630.0,630.4872624874115,False
mpc_decision_65@640.0s,36,1,20,1779761577.3013518,mpc_replay_1779760453_57df3fd1,65,640.0,641.4776666164398,False
mpc_decision_66@650.0s,36,1,20,1779761587.4052396,mpc_replay_1779760453_57df3fd1,66,650.0,651.4870352745056,False
mpc_decision_67@660.0s,36,1,20,1779761598.4189918,mpc_replay_1779760453_57df3fd1,67,660.0,661.5034229755402,False
mpc_decision_68@670.0s,36,1,20,1779761606.6107833,mpc_replay_1779760453_57df3fd1,68,670.0,670.486962556839,False
mpc_decision_69@680.0s,36,1,20,1779761616.302222,mpc_replay_1779760453_57df3fd1,69,680.0,680.5139760971069,False
mpc_decision_70@690.0s,34,15,15,1779761626.405719,mpc_replay_1779760453_57df3fd1,70,690.0,690.4785361289978,True
mpc_decision_71@700.0s,34,15,15,1779761636.5029016,mpc_replay_1779760453_57df3fd1,71,700.0,700.5181777477264,False
